,pbo,best_strat
7202 JT,0.8222222222222222,RSI-14-40-60
7203 JT,0.1111111111111111,RSI-14-30-80
7205 JT,0.8888888888888888,RSI-14-40-60
7211 JT,0.7555555555555555,RSI-24-20-80
7261 JT,0.4666666666666667,BBANDS-10-1
7267 JT,0.4222222222222222,RSI-24-30-70
7269 JT,0.1111111111111111,RSI-24-40-70
7270 JT,0.7333333333333333,RSI-14-40-70
7731 JT,0.6222222222222222,RSI-24-30-70
7733 JT,0.2,RSI-14-40-80
7735 JT,0.1111111111111111,RSI-24-30-80
7751 JT,0.5777777777777777,RSI-24-30-80
7752 JT,0.2222222222222222,RSI-14-30-70
7762 JT,0.7333333333333333,RSI-24-30-70
7911 JT,0.2,RSI-24-20-80
7912 JT,0.5555555555555556,RSI-24-40-80
7951 JT,0.044444444444444446,RSI-14-40-80
8001 JT,0.022222222222222223,RSI-24-40-80
8002 JT,0.8666666666666667,RSI-14-40-80
8015 JT,0.4888888888888889,RSI-24-20-80
8031 JT,0.1111111111111111,RSI-14-30-80
8035 JT,0.022222222222222223,RSI-24-30-80
8053 JT,0.7111111111111111,RSI-14-40-60
8058 JT,0.37777777777777777,RSI-14-30-80
8233 JT,0.1111111111111111,MACD-17-22-9
8252 JT,0.4666666666666667,RSI-14-30-80
8253 JT,0.5777777777777777,RSI-14-30-70
8267 JT,0.2222222222222222,RSI-24-40-80
8303 JT,0.4222222222222222,RSI-14-30-70
8304 JT,0.7111111111111111,RSI-24-20-80
8306 JT,0.6222222222222222,BBANDS-10-2
8308 JT,0.8222222222222222,MACD-7-31-9
8309 JT,0.4444444444444444,RSI-24-30-70
8316 JT,0.4666666666666667,RSI-14-20-80
8331 JT,0.0,MACD-17-22-9
8354 JT,0.28888888888888886,RSI-24-20-80
8355 JT,0.5777777777777777,RSI-24-20-80
8411 JT,0.6444444444444445,RSI-24-30-80
8601 JT,0.7333333333333333,RSI-14-20-80
8604 JT,0.4,MACD-7-26-9
8628 JT,0.5111111111111111,RSI-24-20-80
8630 JT,0.3111111111111111,RSI-14-30-80
8725 JT,0.26666666666666666,RSI-4-30-80
8750 JT,0.3333333333333333,RSI-24-40-70
8766 JT,0.17777777777777778,RSI-4-40-80
8795 JT,0.6444444444444445,BBANDS-10-1
8801 JT,0.2222222222222222,RSI-14-40-70
8802 JT,0.4444444444444444,RSI-4-20-80
8804 JT,0.2222222222222222,RSI-14-40-80
8830 JT,0.3333333333333333,RSI-24-40-60
9001 JT,0.17777777777777778,RSI-24-40-60
9005 JT,0.2222222222222222,RSI-24-40-70
9007 JT,0.28888888888888886,RSI-14-40-60
9008 JT,0.24444444444444444,RSI-24-30-80
9009 JT,0.6,RSI-24-40-80
9020 JT,0.8666666666666667,RSI-24-40-70
9021 JT,0.35555555555555557,MACD-12-26-9
9022 JT,0.4444444444444444,MACD-7-26-9
9062 JT,0.6666666666666666,RSI-14-40-60
9064 JT,0.4888888888888889,RSI-14-40-60
9101 JT,0.0,RSI-24-20-80
9104 JT,0.2,RSI-24-20-80
9107 JT,0.28888888888888886,RSI-24-20-80
9202 JT,0.5111111111111111,RSI-14-40-80
9301 JT,0.1111111111111111,RSI-14-30-70
9412 JT,0.3333333333333333,RSI-24-40-60
9432 JT,0.08888888888888889,RSI-14-40-80
9433 JT,0.2,RSI-4-40-80
9501 JT,0.24444444444444444,BBANDS-30-2
